,time_start,time_end,model,launch_place,target,launched,destroyed,not_reach_goal,latitude,longitude
206,06.05.2024,06.05.2024,Unknown UAV,,Kherson oblast,1.0,1,,46.5421715,33.4079326
207,06.05.2024,06.05.2024,Reconnaissance UAV,,Kherson oblast,1.0,1,,46.5421715,33.4079326
208,03.05.2024,03.05.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
209,03.05.2024,03.05.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
210,27.04.2024,27.04.2024,Orlan-10,,Kherson oblast,1.0,1,,46.5421715,33.4079326
211,26.04.2024,26.04.2024,Orlan-10,,Kherson oblast,1.0,1,,46.5421715,33.4079326
212,26.04.2024,26.04.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
213,24.04.2024,24.04.2024,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
214,11.03.2024,11.03.2024,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
215,10.03.2024,10.03.2024,Lancet,,Kherson oblast,3.0,3,,46.5421715,33.4079326
216,08.03.2024,08.03.2024,Lancet,,Kherson oblast,1.0,1,,46.5421715,33.4079326
217,29.02.2024,29.02.2024,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
218,28.02.2024,28.02.2024,Lancet,,Kherson oblast,1.0,1,,46.5421715,33.4079326
219,27.02.2024,27.02.2024,X-31P,,Kherson oblast,1.0,0,,46.5421715,33.4079326
220,27.02.2024,27.02.2024,ZALA,,Kherson oblast,2.0,2,,46.5421715,33.4079326
221,27.02.2024,27.02.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
222,26.02.2024,26.02.2024,ZALA,,Kherson oblast,2.0,2,,46.5421715,33.4079326
223,26.02.2024,26.02.2024,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
224,24.02.2024,24.02.2024,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
225,23.02.2024,23.02.2024,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
226,23.02.2024,23.02.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
227,19.02.2024,19.02.2024,Lancet,,Kherson oblast,1.0,1,,46.5421715,33.4079326
228,17.02.2024,17.02.2024,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
229,17.02.2024,17.02.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
230,09.02.2024,09.02.2024,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
231,09.02.2024,09.02.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
232,02.02.2024,02.02.2024,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
233,01.02.2024,01.02.2024,Orlan-10,,Kherson oblast,1.0,1,,46.5421715,33.4079326
234,31.01.2024,31.01.2024,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
235,31.01.2024,31.01.2024,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
236,30.01.2024,30.01.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
237,24.01.2024,24.01.2024,Merlin-VR,,Kherson oblast,2.0,2,,46.5421715,33.4079326
238,17.01.2024,17.01.2024,Reconnaissance UAV,,Kherson oblast,1.0,1,,46.5421715,33.4079326
239,16.01.2024,16.01.2024,Orlan-10,,Kherson oblast,1.0,1,,46.5421715,33.4079326
240,15.01.2024,15.01.2024,ZALA,,Kherson oblast,2.0,2,,46.5421715,33.4079326
241,13.01.2024,13.01.2024,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
242,09.01.2024,09.01.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
243,09.01.2024,09.01.2024,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
244,06.01.2024,06.01.2024,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
245,05.01.2024,05.01.2024,Orlan-10,,Kherson oblast,1.0,1,,46.5421715,33.4079326
246,05.01.2024,05.01.2024,Merlin-VR,,Kherson oblast,2.0,2,,46.5421715,33.4079326
247,04.01.2024,04.01.2024,Lancet,,Kherson oblast,1.0,1,,46.5421715,33.4079326
248,02.01.2024,02.01.2024,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
249,02.01.2024,02.01.2024,Lancet,,Kherson oblast,5.0,5,,46.5421715,33.4079326
250,01.01.2024,01.01.2024,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
251,01.01.2024,01.01.2024,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
252,28.12.2023,28.12.2023,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
253,26.12.2023,26.12.2023,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
254,26.12.2023,26.12.2023,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
255,24.12.2023,24.12.2023,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
256,05.12.2023,05.12.2023,ZALA,,Kherson oblast,2.0,2,,46.5421715,33.4079326
257,05.12.2023,05.12.2023,Merlin-VR,,Kherson oblast,2.0,2,,46.5421715,33.4079326
258,05.12.2023,05.12.2023,Lancet,,Kherson oblast,1.0,1,,46.5421715,33.4079326
259,03.12.2023,03.12.2023,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
260,01.12.2023,01.12.2023,Lancet,"Primorsko-Akhtarsk and Chauda, Crimea",Kherson oblast,1.0,1,,46.5421715,33.4079326
261,28.11.2023,28.11.2023,Orlan-10,south,Kherson oblast,1.0,1,,46.5421715,33.4079326
262,24.11.2023,24.11.2023,Orlan-10,,Kherson oblast,1.0,1,,46.5421715,33.4079326
263,02.11.2023,02.11.2023,Lancet,,Kherson oblast,1.0,1,,46.5421715,33.4079326
264,31.10.2023,31.10.2023,Lancet,,Kherson oblast,3.0,3,,46.5421715,33.4079326
265,30.10.2023,30.10.2023,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
266,29.10.2023,29.10.2023,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
267,29.10.2023,29.10.2023,Lancet,,Kherson oblast,3.0,3,,46.5421715,33.4079326
268,27.10.2023,27.10.2023,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
269,18.10.2023,18.10.2023,Lancet,,Kherson oblast,1.0,1,,46.5421715,33.4079326
270,21.05.2023,21.05.2023,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
271,21.05.2023,21.05.2023,Orlan-10,,Kherson oblast,1.0,1,,46.5421715,33.4079326
272,21.05.2023,21.05.2023,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
273,15.05.2023,15.05.2023,Supercam,,Kherson oblast,1.0,1,,46.5421715,33.4079326
274,15.05.2023,15.05.2023,Orlan-10,,Kherson oblast,1.0,1,,46.5421715,33.4079326
275,15.05.2023,15.05.2023,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
276,14.05.2023,14.05.2023,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
277,14.05.2023,14.05.2023,Orlan-10,,Kherson oblast,2.0,2,,46.5421715,33.4079326
278,08.05.2023,08.05.2023,ZALA,,Kherson oblast,1.0,1,,46.5421715,33.4079326
279,08.05.2023,08.05.2023,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
280,26.04.2023,26.04.2023,Merlin-VR,,Kherson oblast,1.0,1,,46.5421715,33.4079326
281,26.04.2023,26.04.2023,Lancet,,Kherson oblast,5.0,5,,46.5421715,33.4079326
282,24.04.2023,24.04.2023,Unknown UAV,,Kherson oblast,1.0,1,,46.5421715,33.4079326
283,24.04.2023,24.04.2023,Lancet,,Kherson oblast,2.0,2,,46.5421715,33.4079326
284,27.03.2023,27.03.2023,KAB,Morozovsk,Kherson oblast,2.0,0,,46.5421715,33.4079326
285,09.02.2023,09.02.2023,Orion,,Kherson oblast,1.0,1,,46.5421715,33.4079326
286,20.12.2022,20.12.2022,Orion,,Kherson oblast,1.0,1,,46.5421715,33.4079326
287,25.10.2022,25.10.2022,Shahed-136/131,,Kherson oblast,2.0,2,,46.5421715,33.4079326
288,14.06.2024,14.06.2024,X-101/X-555,Saratov oblast,Khmelnytskyi oblast,10.0,7,,49.268624,27.0635998
289,04.01.2024,04.01.2024,Shahed-136/131,south-east,Khmelnytskyi oblast,2.0,2,,49.268624,27.0635998
290,19.12.2023,19.12.2023,Shahed-136/131,Primorsko-Akhtarsk,Khmelnytskyi oblast,2.0,2,,49.268624,27.0635998
291,15.09.2023,15.09.2023,Shahed-136/131,Primorsko-Akhtarsk,Khmelnytskyi oblast,17.0,17,,49.268624,27.0635998
292,26.07.2023,26.07.2023,X-47 Kinzhal,,Khmelnytskyi oblast,4.0,0,,49.268624,27.0635998
293,23.06.2023,23.06.2023,X-101/X-555,Caspian Sea,Khmelnytskyi oblast,13.0,13,,49.268624,27.0635998
294,20.06.2023,20.06.2023,Shahed-136/131,north,Khmelnytskyi oblast,6.0,6,,49.268624,27.0635998
295,17.05.2024,17.05.2024,Unknown UAV,,Kirovohrad oblast,1.0,1,,48.1916774,31.6902953
296,27.01.2024,27.01.2024,Shahed-136/131,Primorsko-Akhtarsk,Kirovohrad oblast,4.0,4,,48.1916774,31.6902953
297,11.08.2023,11.08.2023,X-47 Kinzhal,Tula oblast and Lipetsk oblast,Kolomyia,4.0,1,,48.5259211,25.0380538
298,30.10.2024,31.10.2024,Iskander-M/KN-23,Rostov oblast,Kramatorsk,2.0,0,,48.7389415,37.5843812
299,28.10.2024,29.10.2024,Iskander-M,Crimea,Kryvyi Rih,1.0,0,,47.9102734,33.3917703
300,19.10.2024,20.10.2024,Iskander-M,Crimea,Kryvyi Rih,2.0,0,,47.9102734,33.3917703
301,04.09.2024,04.09.2024,Iskander-K,Crimea,Kryvyi Rih,3.0,3,,47.9102734,33.3917703
302,02.10.2023,02.10.2023,Shahed-136/131,Primorsko-Akhtarsk,Kryvyi Rih,7.0,4,,47.9102734,33.3917703
303,19.09.2023,19.09.2023,Iskander-M,Crimea,Kryvyi Rih,1.0,0,,47.9102734,33.3917703
304,28.08.2023,28.08.2023,X-59,Kherson oblast,Kryvyi Rih,2.0,2,,47.9102734,33.3917703
305,31.08.2024,31.08.2024,Orion,,Kursk oblast,1.0,1,,51.6568453,36.4852695
306,25.03.2024,25.03.2024,3M22 Zircon,Crimea,Kyiv,2.0,2,,50.4500336,30.5241361
307,13.12.2023,13.12.2023,C-400 and Iskander-M,north,Kyiv,10.0,10,,50.4500336,30.5241361
308,11.12.2023,11.12.2023,KAB,north,Kyiv,8.0,8,,50.4500336,30.5241361
309,11.11.2023,11.11.2023,Iskander-M,,Kyiv,1.0,1,,50.4500336,30.5241361
310,06.08.2024,06.08.2024,Iskander-M/KN-23,Voronezh oblast,Kyiv oblast,4.0,2,,50.178595,30.4924884
311,31.07.2024,31.07.2024,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast, Seshcha and Yeysk",Kyiv oblast,89.0,89,,50.178595,30.4924884
312,23.06.2024,23.06.2024,Kalibr,Sea of Azov,Kyiv oblast,3.0,2,,50.178595,30.4924884
313,31.05.2024,31.05.2024,Iskander-K,Kursk oblast,Kyiv oblast,1.0,1,,50.178595,30.4924884
314,21.03.2024,21.03.2024,X-101/X-555,Volgodonsk and Engels-2,Kyiv oblast,29.0,29,,50.178595,30.4924884
315,21.03.2024,21.03.2024,Iskander-M/KN-23 and X-47 Kinzhal,,Kyiv oblast,2.0,2,,50.178595,30.4924884
316,25.11.2023,25.11.2023,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast,Kyiv oblast,75.0,74,,50.178595,30.4924884
317,10.09.2023,10.09.2023,Shahed-136/131,Kursk oblast,Kyiv oblast,33.0,26,,50.178595,30.4924884
318,13.07.2023,13.07.2023,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast,Kyiv oblast,20.0,20,,50.178595,30.4924884
319,16.06.2023,16.06.2023,X-47 Kinzhal,,Kyiv oblast,6.0,6,,50.178595,30.4924884
320,16.06.2023,16.06.2023,Kalibr,,Kyiv oblast,6.0,6,,50.178595,30.4924884
321,16.06.2023,16.06.2023,Reconnaissance UAV,,Kyiv oblast,2.0,2,,50.178595,30.4924884
322,01.06.2023,01.06.2023,Iskander-M,Bryansk oblast,Kyiv oblast,7.0,7,,50.178595,30.4924884
323,01.06.2023,01.06.2023,Iskander-K,Bryansk oblast,Kyiv oblast,3.0,3,,50.178595,30.4924884
324,29.05.2023,29.05.2023,Iskander-M and Iskander-K,north,Kyiv oblast,11.0,11,,50.178595,30.4924884
325,20.05.2023,20.05.2023,Shahed-136/131,,Kyiv oblast,18.0,18,,50.178595,30.4924884
326,08.05.2023,08.05.2023,Shahed-136/131,"Bryansk oblast, Seshcha",Kyiv oblast,35.0,35,,50.178595,30.4924884
327,04.05.2023,04.05.2023,X-47 Kinzhal,,Kyiv oblast,1.0,1,,50.178595,30.4924884
328,31.12.2022,31.12.2022,Orlan-10,,Kyiv oblast,1.0,1,,50.178595,30.4924884
329,29.12.2022,29.12.2022,Orlan-10,,Kyiv oblast,1.0,1,,50.178595,30.4924884
330,04.09.2024,04.09.2024,X-47 Kinzhal,Tula oblast,Lviv oblast,2.0,0,,49.6512234,23.8266948
331,11.04.2024,11.04.2024,X-47 Kinzhal,Tambov oblast,Lviv oblast,6.0,0,,49.6512234,23.8266948
332,06.07.2023,06.07.2023,Kalibr,Black Sea,Lviv oblast,10.0,7,,49.6512234,23.8266948
333,08.11.2024,08.11.2024,Iskander-M,Crimea,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
334,15.10.2024,15.10.2024,C-300/C-400,Crimea,Mykolaiv oblast,7.0,0,,47.3886032,31.9442334
335,15.10.2024,15.10.2024,Unknown Missile,Crimea,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
336,09.10.2024,10.10.2024,X-59/X-69,Crimea,Mykolaiv oblast,2.0,0,,47.3886032,31.9442334
337,18.09.2024,18.09.2024,X-59/X-69,Kherson oblast,Mykolaiv oblast,3.0,0,3.0,47.3886032,31.9442334
338,02.09.2024,02.09.2024,Iskander-M,Crimea,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
339,25.08.2024,25.08.2024,Shahed-136/131,"Chauda, Crimea",Mykolaiv oblast,9.0,8,,47.3886032,31.9442334
340,22.08.2024,22.08.2024,Iskander-M,Crimea,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
341,11.08.2024,11.08.2024,Iskander-M,,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
342,05.08.2024,05.08.2024,X-59,,Mykolaiv oblast,1.0,0,1.0,47.3886032,31.9442334
343,05.08.2024,05.08.2024,Iskander-M,Crimea,Mykolaiv oblast,2.0,0,,47.3886032,31.9442334
344,01.08.2024,01.08.2024,Iskander-M,Crimea,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
345,31.07.2024,31.07.2024,X-59,Kherson oblast,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
346,23.07.2024,23.07.2024,Iskander-M,Crimea,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
347,20.07.2024,20.07.2024,Iskander-M,Crimea,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
348,19.07.2024,19.07.2024,X-59,,Mykolaiv oblast,2.0,0,,47.3886032,31.9442334
349,10.07.2024,10.07.2024,X-59,,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
350,09.07.2024,09.07.2024,Iskander-M,Crimea,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
351,27.06.2024,27.06.2024,ZALA,,Mykolaiv oblast,2.0,2,,47.3886032,31.9442334
352,27.06.2024,27.06.2024,Iskander-M,Crimea,Mykolaiv oblast,2.0,0,,47.3886032,31.9442334
353,26.06.2024,26.06.2024,X-59,,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
354,23.06.2024,23.06.2024,ZALA,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
355,22.06.2024,22.06.2024,ZALA,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
356,19.06.2024,19.06.2024,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
357,18.06.2024,18.06.2024,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
358,17.06.2024,17.06.2024,Iskander-M,Crimea,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
359,14.06.2024,14.06.2024,Iskander-M,,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
360,13.06.2024,13.06.2024,X-59,,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
361,09.06.2024,09.06.2024,ZALA,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
362,05.06.2024,05.06.2024,ZALA,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
363,03.06.2024,03.06.2024,ZALA,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
364,01.06.2024,01.06.2024,Lancet,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
365,01.06.2024,01.06.2024,C-400,,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
366,30.05.2024,30.05.2024,Lancet,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
367,17.05.2024,17.05.2024,Supercam,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
368,17.05.2024,17.05.2024,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
369,13.05.2024,13.05.2024,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
370,11.05.2024,11.05.2024,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
371,06.05.2024,06.05.2024,Lancet,,Mykolaiv oblast,3.0,3,,47.3886032,31.9442334
372,03.05.2024,03.05.2024,ZALA,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
373,02.05.2024,02.05.2024,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
374,28.04.2024,28.04.2024,Unknown UAV,Kherson oblast,Mykolaiv oblast,5.0,1,,47.3886032,31.9442334
375,20.04.2024,20.04.2024,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
376,13.04.2024,13.04.2024,X-59,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
377,31.03.2024,31.03.2024,Supercam,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
378,24.03.2024,24.03.2024,Supercam,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
379,24.03.2024,24.03.2024,Reconnaissance UAV,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
380,28.02.2024,28.02.2024,Supercam,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
381,13.02.2024,13.02.2024,Lancet,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
382,30.01.2024,30.01.2024,Merlin-VR,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
383,25.01.2024,25.01.2024,X-59,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
384,22.01.2024,22.01.2024,X-59,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
385,17.01.2024,17.01.2024,Lancet,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
386,15.01.2024,15.01.2024,Merlin-VR,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
387,06.01.2024,06.01.2024,Shahed-136/131,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
388,05.12.2023,05.12.2023,Merlin-VR,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
389,29.11.2023,29.11.2023,X-59,Kherson oblast,Mykolaiv oblast,3.0,2,,47.3886032,31.9442334
390,12.11.2023,12.11.2023,X-59,,Mykolaiv oblast,2.0,1,,47.3886032,31.9442334
391,12.11.2023,12.11.2023,Iskander-M,,Mykolaiv oblast,1.0,0,,47.3886032,31.9442334
392,05.11.2023,05.11.2023,X-59,Kherson oblast,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
393,31.10.2023,31.10.2023,Shahed-136/131,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
394,27.10.2023,27.10.2023,X-59,,Mykolaiv oblast,3.0,3,,47.3886032,31.9442334
395,17.10.2023,17.10.2023,X-59,Kherson oblast,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
396,11.10.2023,11.10.2023,Supercam,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
397,23.09.2023,23.09.2023,Orlan-10,,Mykolaiv oblast,2.0,2,,47.3886032,31.9442334
398,05.07.2023,05.07.2023,ZALA,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
399,05.07.2023,05.07.2023,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
400,05.07.2023,05.07.2023,Merlin-VR,,Mykolaiv oblast,2.0,2,,47.3886032,31.9442334
401,05.07.2023,05.07.2023,Lancet,,Mykolaiv oblast,4.0,4,,47.3886032,31.9442334
402,16.06.2023,16.06.2023,Shahed-136/131,,Mykolaiv oblast,2.0,2,,47.3886032,31.9442334
403,31.05.2023,31.05.2023,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
404,31.05.2023,31.05.2023,Merlin-VR,,Mykolaiv oblast,2.0,2,,47.3886032,31.9442334
405,31.05.2023,31.05.2023,Lancet,,Mykolaiv oblast,2.0,2,,47.3886032,31.9442334
406,16.05.2023,16.05.2023,Unknown UAV,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
407,16.05.2023,16.05.2023,Orlan-10,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
408,23.04.2023,23.04.2023,Merlin-VR,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
409,08.04.2023,08.04.2023,Supercam,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
410,22.12.2022,22.12.2022,X-59MK2,Black Sea,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
411,20.12.2022,20.12.2022,Unknown UAV,,Mykolaiv oblast,1.0,1,,47.3886032,31.9442334
412,22.10.2022,22.10.2022,Shahed-136/131,,Mykolaiv oblast,10.0,10,,47.3886032,31.9442334
413,20.10.2022,20.10.2022,Shahed-136/131,,Mykolaiv oblast,14.0,14,,47.3886032,31.9442334
